크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2021년 8월 28일,사동,BHC-안산사동점,gu**님,2021년 8월 28일,후라이드/1,맛있어요잘먹었습니다 포장으로하려고했는데 배달만되나봐요~암툰할인해서 잘먹었어요~,5,5,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/b22ce5c88ae05352b05f07181e8002f6_tn.jpg
2021년 8월 28일,사동,BHC-안산사동점,ju**님,2021년 8월 28일,골드킹 콤보/1(디저트(뿌링감자)),💛💖💛💖💛💖💛💖💛💖,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5f1793c282f5ed81dce19d2adb86e71f_tn.jpg
2021년 8월 28일,사동,BHC-안산사동점,ka**님,2021년 8월 28일,뿌링클/1,맛있게 잘 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2c8ba6f74fc62b724a8f542ac0cbab6b_tn.jpg
2021년 8월 28일,사동,BHC-안산사동점,pa**님,2021년 8월 28일,바삭클/1,입맛이 촌스러워서 그런지 바삭클(옛날통닭맛) 저한테는 따악^^ 맛있게 먹고 있습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/af8d3eb88b411075e320d60f8735d3c8_tn.jpg
2021년 8월 28일,사동,BHC-안산사동점,dl**님,2021년 8월 28일,하바네로 포테킹 후라이드/1(옵션(콜라1.25L)),잘먹었습니다~!!!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 28일,사동,BHC-안산사동점,dl**님,2021년 8월 28일,뿌링클（반）＋치즈볼/1,잘 먹었습네다~~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/f8ceeac9ed7de86a7e074811269decbe_tn.jpg
2021년 8월 28일,사동,BHC-안산사동점,sk**님,2021년 8월 28일,뿌링클순살/1,역시 비에치씨는 뿌링클,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 28일,사동,BHC-안산사동점,dw**님,2021년 8월 28일,뿌링클 콤보/1,잘먹었숨다!!!!!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 27일,사동,BHC-안산사동점,ly**님,2021년 8월 27일,뿌링클（반）＋치즈볼/1,뿌링클 ㅜ 마시써여,4,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4bb615c989385f4b6446bfc4ddc341a3_tn.jpg
2021년 8월 27일,사동,BHC-안산사동점,ja**님,2021년 8월 27일,골드킹 윙/1,일하고 와서 넘 배고팠는데 바삭하니 맛있습니다.감사합니다~,5,4,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 27일,사동,BHC-안산사동점,ta**님,2021년 8월 27일,맛초킹 콤보/1,받자마자 순삭했네요 맛있어요~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 27일,사동,BHC-안산사동점,ma**님,2021년 8월 27일,바삭클/1,좋아요~~~~~~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/615529daf28c41e43d3ae8f2d4a39e3b_tn.jpg
2021년 8월 27일,사동,BHC-안산사동점,zi**님,2021년 8월 27일,맛초킹/1,맛초킹에 소맥 한잔이면 하루 피로풀리네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7cfc05cfc0c8e7c8943c3fca2e2421ef_tn.jpg
2021년 8월 27일,사동,BHC-안산사동점,dk**님,2021년 8월 27일,"뿌링왕콜팝/1(디저트(달콤바삭치즈볼,꿀호떡))",잘 먹었습니다!!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4e8be3956bd4c6330ff5d494b2a08aa6_tn.jpg
2021년 8월 26일,사동,BHC-안산사동점,us**님,2021년 8월 26일,"뿌링멘보샤/1,달콤바삭치즈볼/1,케이준프라이/1,뿌링감자/1",没炸透，the toast is uncooked .,1,1,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/f15c6f92737cb24a0661da62968fc18b_tn.jpg
2021년 8월 26일,사동,BHC-안산사동점,wo**님,2021년 8월 26일,"빅콜팝/1,뿌링치즈스틱/1",콜팝 너무 맛있어용,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 26일,사동,BHC-안산사동점,sl**님,2021년 8월 26일,양념맵소킹 콤보/1,와 맛잇어용 혜자애용 히히 매워용,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 26일,사동,BHC-안산사동점,al**님,2021년 8월 26일,"골드킹/1,코카-콜라 1.25L/1",잘먹었습니다 바삭하고 단짠단짠하니 좋네요^^,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/0ebe17b50e64cbe854e58b695f2e0f2c_tn.jpg
2021년 8월 26일,사동,BHC-안산사동점,db**님,2021년 8월 26일,뿌링클 콤보/1,빠르고 맛있었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ce3d45f73ab0c4d4fc11957affc18f67_tn.jpg
2021년 8월 26일,사동,BHC-안산사동점,um**님,2021년 8월 26일,뿌링클 콤보/1,맛있게잘먹엄ㅅ아요~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 25일,사동,BHC-안산사동점,ly**님,2021년 8월 25일,뿌링클（반）＋치즈볼/1,뿌링클 좋아용 ㅋㅋ,4,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/8d90886bffcb4f150f65a55b8474fa1d_tn.jpg
2021년 8월 25일,사동,BHC-안산사동점,in**님,2021년 8월 25일,바삭클순살/1(옵션(콜라1.25L)),설명대로 기본에 충실한 바삭한 후라이드네요 맛있어요.,5,3,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/410974a586f64dfa2365353df583e3fe_tn.jpg
2021년 8월 25일,사동,BHC-안산사동점,ry**님,2021년 8월 25일,맛초킹（반）＋치즈볼/1,맛있어요!!!!~~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 25일,사동,BHC-안산사동점,dk**님,2021년 8월 25일,뿌링빅콜팝/1(디저트(빨간소떡)),잘 먹었습니다!!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1d8ea461400897808bbcd75875896cb1_tn.jpg
2021년 8월 25일,사동,BHC-안산사동점,yu**님,2021년 8월 25일,맛초킹/1,맛있게 잘먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2e9149ae58f7919a07d445bc69024460_tn.jpg
2021년 8월 25일,사동,BHC-안산사동점,zz**님,2021년 8월 25일,골드킹 순살/1,항상 맛있게 먹고 있습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2737b058497ecdbd86a0c2187cc4dbea_tn.jpg
2021년 8월 25일,사동,BHC-안산사동점,e9**님,2021년 8월 25일,뿌링클 콤보/1(디저트(달콤바삭치즈볼)),배달도 예상시간보다 훨씬 빠르고 맛도 좋았는데다리6개 전부 속이 안익은거같아요.,4,5,5,사진으로 봤을때는 단백질 성분으로 핑키현상인것같습니다  가끔핑키닭이 있는데 익었지만 단백질성분으로 안익은것처럼붉은색을  띠웁니다   인터넷에 검색하셔도 알수있는 내용들이 있습니다  사진으로는익은닭맞는거 같습니다,https://rev-static.yogiyo.co.kr/afff5eba026b2ab8ae4284c542b77d95_tn.jpg
2021년 8월 25일,사동,BHC-안산사동점,pr**님,2021년 8월 25일,뿌링클 콤보/1,맛있어요!!!!!!!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 24일,사동,BHC-안산사동점,dl**님,2021년 8월 24일,뿌링클（반）＋치즈볼/1,잘 먹었습니다~~~~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1075a5a2d6a9cd5e8cf42cbf6b79bb53_tn.jpg
2021년 8월 24일,사동,BHC-안산사동점,uu**님,2021년 8월 24일,포테킹 후라이드 콤보/1,적당히 따뜻하게 잘 배달왔어요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 24일,사동,BHC-안산사동점,a0**님,2021년 8월 24일,맛초킹（반）＋치즈볼/1,역시 최고내요  비에이치씨,5,5,3,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/d43c46adb3becbff0918db30135cc804_tn.jpg
2021년 8월 24일,사동,BHC-안산사동점,dm**님,2021년 8월 24일,맛초킹/1,짭짤하니 맛있어요😊,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/519c290506bff974268e464026aa9497_tn.jpg
2021년 8월 24일,사동,BHC-안산사동점,co**님,2021년 8월 24일,뿌링클/1,뜨끈뜨근 너무 맛있게 잘 먹었습니다~~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 24일,사동,BHC-안산사동점,cw**님,2021년 8월 24일,뿌링클 콤보＋치즈볼/1,양도 많은편이며 맛있네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/3a016f1badc253ccacf6ac9c881e97ec_tn.jpg
