No.,2VF1 B,3VF1 G,4VF1 R,5IR B,6IR G,7IR R,8VF B,9VF G,10VF R,11LMD B,12LMD G,13LMD R
412,2.262,1.938,1.409,0.013,0.013,0.007,3.114,3.3,2.399,457.6,524.1,621.9
413,2.272,1.93,1.398,0.008,0.012,0.012,3.386,3.378,2.32,457.5,523.8,621.4
414,2.268,1.933,1.392,0.008,0.011,0.011,3.39,3.351,2.336,458,523.5,622.1
415,2.266,1.941,1.407,0.009,0.012,0.011,3.171,3.387,2.32,457.6,521.4,622.3
416,2.264,1.933,1.398,0.013,0.013,0.007,3.303,3.365,2.42,458.4,523.8,621.3
417,2.247,1.935,1.398,0.013,0.013,0.007,3.3,3.361,2.415,458.8,523.6,621.4
418,2.269,1.942,1.408,0.012,0.012,0.006,3.114,3.361,2.398,459,521.3,622.1
419,2.258,1.942,1.409,0.013,0.013,0.007,3.114,3.363,2.396,457.7,521.2,622.3
420,2.272,1.931,1.406,0.008,0.011,0.011,3.179,3.287,2.317,457.7,523.9,622.1
421,2.268,1.94,1.408,0.012,0.012,0.007,3.127,3.377,2.402,457.3,521.2,622.1
422,2.212,1.927,1.397,0.008,0.012,0.011,3.182,3.379,2.317,457.6,523.4,621.5
423,2.275,1.938,1.408,0.009,0.012,0.011,3.398,3.31,2.333,457.3,523.9,621.8
424,2.269,1.936,1.409,0.013,0.013,0.007,3.106,3.302,2.401,457.6,524.2,622
425,2.264,1.94,1.411,0.012,0.013,0.006,3.095,3.321,2.417,457.4,523.9,621.8
426,2.256,1.94,1.408,0.008,0.013,0.011,3.163,3.419,2.337,457.8,524.2,622.1
427,2.27,1.942,1.406,0.008,0.012,0.012,3.185,3.37,2.317,458.5,521.2,622.2
428,2.271,1.94,1.408,0.008,0.011,0.011,3.204,3.416,2.341,457.7,525,621.9
429,2.27,1.95,1.409,0.013,0.013,0.007,3.095,3.427,2.423,459.4,523.9,622
430,2.263,1.94,1.406,0.008,0.012,0.073,3.193,3.363,2.317,458.8,521.4,621.9
431,2.229,1.938,1.411,0.012,0.013,0.007,3.065,3.299,2.447,458.2,523.8,621.5
432,2.265,1.939,1.409,0.009,0.011,0.011,3.487,3.295,2.35,458.2,523.6,621.6
433,2.261,1.935,1.409,0.009,0.012,0.011,3.2,3.31,2.34,458.8,524,621.8
434,2.278,1.942,1.407,0.008,0.011,0.012,3.176,3.424,2.32,458.7,524.4,621.8
435,2.271,1.935,1.414,0.008,0.011,0.012,3.391,3.293,2.364,457.3,524,621.6
436,2.26,1.928,1.399,0.013,0.013,0.006,3.09,3.371,2.398,457.7,523.3,621.6
437,2.263,1.932,1.397,0.008,0.012,0.011,3.381,3.355,2.329,458,523.4,621.3
438,2.216,1.922,1.409,0.008,0.012,0.012,3.194,3.505,2.341,457.4,525.4,621.7
439,2.27,1.937,1.399,0.012,0.012,0.006,3.309,3.322,2.408,457.7,524,621.5
440,2.262,1.931,1.407,0.008,0.012,0.011,3.178,3.307,2.318,459,523.8,621.9
441,2.264,1.937,1.408,0.008,0.012,0.011,3.185,3.286,2.344,457.2,523.6,621.6
442,2.256,1.929,1.396,0.008,0.011,0.011,3.191,3.35,2.322,457.9,523.3,621.5
443,2.21,1.923,1.41,0.013,0.012,0.007,3.128,3.528,2.429,457.4,525.2,621.7
444,2.26,1.939,1.409,0.009,0.012,0.011,3.386,3.326,2.347,458,523.8,621.5
445,2.263,1.935,1.409,0.012,0.013,0.007,3.135,3.304,2.406,457.6,523.7,622.1
446,2.235,1.937,1.413,0.009,0.011,0.011,3.145,3.286,2.372,457.9,523.5,621.6
447,2.263,1.936,1.408,0.008,0.012,0.011,3.18,3.292,2.324,457.2,523.9,621.9
448,2.251,1.935,1.399,0.013,0.012,0.007,3.341,3.354,2.408,458.7,523.3,621.2
449,2.267,1.939,1.407,0.008,0.011,0.012,3.229,3.379,2.323,457.7,521.2,622.1
450,2.239,1.95,1.408,0.013,0.013,0.006,3.066,3.411,2.426,457.9,524.1,622
451,2.268,1.94,1.411,0.014,0.013,0.007,3.413,3.329,2.438,458,524,621.5
452,2.268,1.941,1.42,0.013,0.013,0.006,3.119,3.304,2.439,457.1,523.8,622.2
453,2.262,1.935,1.399,0.014,0.014,0.008,3.31,3.356,2.418,458,523.5,621.3
454,2.261,1.941,1.408,0.013,0.013,0.007,3.101,3.366,2.404,459.2,521.5,622.4
455,2.259,1.93,1.406,0.009,0.012,0.011,3.181,3.295,2.319,458.6,523.9,622.1
456,2.273,1.93,1.4,0.013,0.013,0.007,3.32,3.379,2.403,457.4,524,621.4
457,2.247,1.936,1.406,0.008,0.012,0.011,3.168,3.413,2.318,457.8,524.2,622.1
458,2.266,1.932,1.4,0.013,0.012,0.007,3.098,3.361,2.408,457.7,523.7,621.2
459,2.273,1.942,1.408,0.013,0.013,0.007,3.109,3.368,2.4,457.9,521.3,622.1
460,2.243,1.931,0,0.078,0.014,10,3.086,3.381,0.176,457.7,523.8,0
461,2.249,1.93,1.399,0.014,0.013,0.006,3.301,3.341,2.41,459.2,523.2,621.2
462,2.266,1.934,1.398,0.014,0.013,0.008,3.313,3.364,2.417,458.1,523.4,621.4
463,2.264,1.94,1.408,0.009,0.012,0.011,3.17,3.413,2.353,457.6,525.1,621.7
464,2.245,1.941,1.406,0.009,0.012,0.011,3.16,3.425,2.318,457.7,524.8,622.1
465,2.264,1.933,1.407,0.008,0.011,0.011,3.218,3.305,2.314,457.5,523.8,622.3
466,2.242,1.947,1.409,0.013,0.013,0.007,3.083,3.502,2.42,457.9,525.1,622.1
467,2.26,1.942,1.41,0.013,0.013,0.006,3.136,3.391,2.402,457.7,521.5,622.3
468,2.183,1.931,1.397,0.008,0.011,0.012,3.187,3.372,2.32,458.2,523.6,621.5
469,2.269,1.941,1.408,0.013,0.013,0.006,3.156,3.365,2.401,457.6,521.2,622.3
470,2.263,1.937,1.409,0.009,0.012,0.011,3.18,3.321,2.323,457.3,524.1,622.1
471,2.22,1.945,1.408,0.008,0.012,0.012,3.141,3.431,2.338,459.6,524.2,622
472,2.267,1.937,1.41,0.008,0.012,0.011,3.198,3.296,2.321,457.4,523.8,622.2
473,2.181,1.926,1.397,0.008,0.012,0.011,3.189,3.381,2.325,457.6,523.5,621.5
474,2.263,1.935,1.408,0.009,0.012,0.011,3.177,3.288,2.324,457.3,523.8,621.9
475,2.231,1.949,1.41,0.013,0.013,0.007,3.102,3.429,2.42,458.1,523.9,622
476,2.262,1.937,1.408,0.008,0.011,0.011,3.176,3.315,2.328,457.4,524.2,621.9
477,2.245,1.938,1.413,0.013,0.012,0.007,3.348,3.299,2.453,459.1,523.9,621.6
478,2.255,1.95,1.408,0.009,0.012,0.011,3.155,3.427,2.339,457.7,523.8,622.2
479,2.246,1.951,1.409,0.013,0.012,0.006,3.078,3.429,2.42,457.7,523.8,622
480,2.266,1.931,1.4,0.014,0.012,0.007,3.094,3.358,2.402,457.7,524,621.6
481,2.26,1.934,1.398,0.008,0.012,0.011,3.471,3.35,2.326,458.7,523.2,621.4
482,2.236,1.938,1.412,0.009,0.012,0.011,3.14,3.293,2.345,458,523.7,621.8
483,2.263,1.951,1.41,0.013,0.013,0.007,3.126,3.425,2.421,458.3,523.9,622
484,2.26,1.942,1.408,0.013,0.013,0.007,3.08,3.418,2.41,457.6,524.8,622.2
485,2.249,1.939,1.409,0.008,0.011,0.011,3.426,3.297,2.354,459.5,523.6,621.4
486,2.267,1.932,1.409,0.013,0.014,0.007,3.14,3.294,2.397,457.5,523.8,622.4
487,2.262,1.94,1.407,0.009,0.012,0.011,3.18,3.377,2.32,458.8,521.4,622.3
488,2.267,1.822,1.409,0.013,0.013,0.006,3.125,3.344,2.413,457.2,520.8,622.1
489,2.237,1.926,1.397,0.009,0.012,0.011,3.174,3.381,2.323,457.6,523.5,621.5
490,2.237,1.938,1.41,0.013,0.012,0.006,3.066,3.323,2.42,457.9,523.9,621.8
491,2.27,1.936,1.413,0.008,0.012,0.011,3.145,3.284,2.375,458.3,523.6,621.6
492,2.268,1.929,1.399,0.008,0.012,0.011,3.392,3.38,2.324,457.8,524,621.4
