No.,15IV B,16IV G,17IV R,8VF B,9VF G,10VF R,11LMD B,12LMD G,13LMD R
78307,2.0448,8.586,6.903,3.369,3.509,2.633,457.3,525.2,621.5
78308,2.0105,8.915,7.09,3.319,3.92,2.455,457.4,525,621.4
78309,2.2629,8.867,7.04,3.345,3.759,2.431,459.3,526,621.4
78310,2.2259,8.904,7.094,3.415,3.988,2.461,459.6,525.7,621.2
78311,2.0936,8.667,6.902,3.219,3.746,2.662,457.7,524.2,621.5
78312,2.1206,8.77,7.112,3.288,3.797,2.486,458.3,523.8,621.3
78313,2.134,8.881,7.077,3.262,3.553,2.579,457.8,524.8,621.5
78314,2.0944,8.642,6.953,3.185,3.554,2.609,457.6,526.1,621.3
78315,2.0781,8.66,7.046,3.261,3.627,2.58,457.7,525.2,621.5
78316,2.0431,8.544,7.03,3.165,3.746,2.709,457.4,524.6,621.3
78317,2.0143,8.807,7.112,3.187,3.773,2.669,457.6,524.2,621.2
78318,2.0535,9.071,6.896,3.346,3.927,2.447,457.5,525,621.5
78319,2.1935,8.918,7.016,3.235,3.574,2.669,458.4,525.5,621.5
78320,2.1302,8.814,7.095,3.295,3.806,2.549,457.6,525.2,621.4
78321,2.1563,8.961,7.168,3.214,3.952,2.592,458.7,526,621.2
78322,2.1034,8.724,7.099,3.154,3.598,2.601,458,524.1,621.3
78323,2.1148,8.729,7.007,3.268,3.728,2.424,457.9,524.1,621.2
78324,2.2011,8.913,6.905,3.295,3.543,2.535,458.6,524.8,621.7
78325,2.0467,8.771,7.037,3.383,3.545,2.47,457.5,524.3,621.2
78326,2.1596,9.047,7.214,3.165,3.931,2.434,458.1,525.3,621.3
78327,2.0531,8.725,7.091,3.155,3.827,2.512,457.6,524.3,621.3
78328,2.089,8.911,7.05,3.177,3.54,2.512,457.7,525.3,621.3
78329,2.0808,8.816,7.139,3.274,3.819,2.447,457.9,525.4,621.2
78330,2.0492,8.486,7.109,3.181,3.614,2.521,457.4,524.8,621.4
78331,2.1759,8.92,7.116,3.302,3.651,2.584,459.2,526.5,621.4
78332,2.0854,8.835,7.014,3.459,3.48,2.414,457.9,525.8,621.5
78333,2.0854,8.655,7.039,3.357,3.515,2.403,457.6,524.8,621.3
78334,2.227,8.672,6.938,3.229,3.696,2.44,458.8,524.2,621.2
78335,2.0336,8.873,7.129,3.188,3.731,2.442,457.8,525.5,621.2
78336,1.997,8.844,7.157,3.111,3.578,2.548,457.4,525.5,621.3
78337,2.077,8.635,7.079,3.523,3.518,2.442,457.8,524.8,621.6
78338,2.0377,8.915,7.009,3.16,3.755,2.444,458.2,524.7,621.5
78339,2.1269,8.724,7.116,3.22,3.813,2.555,458.2,523.9,621.3
78340,2.3056,8.819,6.93,3.252,3.969,2.683,460,524.7,621.3
78341,2.0922,8.999,7.21,3.188,3.794,2.577,457.6,524.6,621.2
78342,2.0825,8.814,6.954,3.144,3.648,2.555,457.7,525.8,621.4
78343,2.1408,8.72,7.024,3.204,3.58,2.489,458.3,526.5,621.2
78344,2.0837,8.542,7.09,3.247,3.639,2.548,457.8,525.3,621.4
78345,2.0728,8.874,7.087,3.282,3.744,2.445,457.7,524.4,621.3
78346,2.0438,8.984,6.937,3.389,4.009,2.453,457.4,525.8,621.4
78347,2.0404,8.958,7.094,3.194,3.679,2.462,457.7,524.5,621.3
78348,2.0698,8.972,7.209,3.105,3.839,2.525,457.6,525.2,621.3
78349,2.2019,8.76,7.014,3.36,3.56,2.538,458.3,525.5,621.4
78350,2.3157,8.866,7.112,3.321,3.499,2.411,459.9,524.2,621.4
78351,2.218,8.968,7.05,3.234,3.592,2.523,459.5,525.2,621.3
78352,2.0599,8.803,7.055,3.338,3.448,2.428,457.5,525.6,621.3
78353,2.2628,8.987,7.187,3.135,3.88,2.522,459.2,524.2,621.3
78354,2.2297,8.883,7.143,3.259,3.609,2.429,459.1,526.1,621.4
78355,2.2504,8.833,7.055,3.19,3.762,2.445,459.3,524.3,621.2
78356,2.1197,8.769,7.152,3.245,3.789,2.584,458.2,524.4,621.3
78357,2.0963,8.558,6.97,3.146,3.489,2.477,457.6,524.8,621.4
78358,2.0429,8.772,6.983,3.12,3.733,2.557,457.3,525.6,621.4
78359,2.0795,8.968,6.952,3.147,3.721,2.544,457.7,525,621.3
78360,2.2501,8.597,6.882,3.14,3.644,2.513,459.2,524.2,621.4
78361,2.1563,8.491,6.985,3.307,3.496,2.45,458.7,524.3,621.3
78362,2.1576,8.755,7.108,3.232,3.808,2.55,458.6,524.6,621.2
78363,2.0894,8.728,6.975,3.257,3.618,2.473,457.9,525.5,621.4
78364,2.0788,8.686,6.994,3.224,3.726,2.469,457.7,524.3,621.3
78365,2.091,8.763,7.027,3.272,3.788,2.464,457.6,524.4,621.3
78366,2.0311,8.519,7.004,3.27,3.824,2.57,457.8,524,621.3
78367,2.081,8.686,7.144,3.129,3.76,2.662,457.7,524.2,621.3
78368,2.1595,8.741,7.094,3.325,3.849,2.471,459.3,524.6,621.2
78369,1.9736,8.842,7.046,3.265,3.773,2.475,457.5,525.5,621.3
78370,2.0365,8.627,6.944,3.331,3.765,2.528,457.5,524.2,621.2
78371,2.2898,8.767,7.121,3.151,4.034,2.56,459.8,524.2,621.2
78372,2.017,9.108,7.135,3.169,3.996,2.6,457.4,524.8,621.3
78373,2.0634,9.075,6.988,3.185,3.989,2.634,457.5,524.9,621.4
78374,2.0739,8.791,7.017,3.219,3.635,2.7,457.6,524.9,621.3
78375,1.9906,8.81,6.526,3.339,3.956,2.483,457.5,524.8,621.7
78376,2.069,8.658,7.1,3.312,3.986,2.478,457.9,523.9,621.2
78377,2.1524,8.746,6.882,3.319,3.69,2.475,458.5,525.1,621.4
78378,2.1001,8.904,7.035,3.402,3.598,2.474,457.9,525.3,621.4
78379,2.0995,8.727,6.895,3.344,3.871,2.567,457.9,524.2,621.4
78380,2.2585,8.78,7.05,3.406,3.764,2.445,459.3,525.4,621.3
78381,2.1157,8.643,7.132,3.28,3.966,2.595,458.3,526.1,621.3
